"method","time","items","text","word_length"
"regular",33.1999999880791,870,"try",3
"trie",0.300000011920929,70,"try",3
"regular",41.4000000059605,11527,"ate",3
"trie",0.0999999940395355,48,"ate",3
"regular",10.2000000178814,58,"piu",3
"trie",0.0999999940395355,6,"piu",3
"regular",18.0999999940395,238,"cun",3
"trie",0.200000017881393,75,"cun",3
"regular",14.5,25,"baa",3
"trie",0,21,"baa",3
"regular",11.5,124,"say",3
"trie",0.0999999940395355,23,"say",3
"regular",12.3999999761581,215,"amu",3
"trie",0,45,"amu",3
"regular",13.1999999880791,1318,"tha",3
"trie",0.300000011920929,269,"tha",3
"regular",12.9000000059605,50,"iwa",3
"trie",0,2,"iwa",3
"regular",11.8000000119209,2192,"pol",3
"trie",1.40000000596046,1370,"pol",3
"regular",10.1999999880791,533,"mun",3
"trie",0.0999999940395355,126,"mun",3
"regular",10.1999999880791,1,"clr",3
"trie",0,1,"clr",3
"regular",10.9000000059605,2,"lnr",3
"trie",0,1,"lnr",3
"regular",9.40000000596046,1,"pdq",3
"trie",0,1,"pdq",3
"regular",15.6000000238419,3067,"sub",3
"trie",1.39999997615814,2735,"sub",3
"regular",10.8000000119209,28,"sull",4
"trie",0,20,"sull",4
"regular",8.40000000596046,13,"koda",4
"trie",0.0999999940395355,11,"koda",4
"regular",13,804,"elec",4
"trie",0.300000011920929,485,"elec",4
"regular",8.20000001788139,3,"kmel",4
"trie",0,1,"kmel",4
"regular",11.5,144,"tost",4
"trie",0,10,"tost",4
"regular",8.5,223,"well",4
"trie",0.100000023841858,68,"well",4
"regular",10.9000000059605,57,"lord",4
"trie",0.0999999940395355,28,"lord",4
"regular",8.69999998807907,140,"keep",4
"trie",0,16,"keep",4
"regular",11.3000000119209,48,"roil",4
"trie",0,8,"roil",4
"regular",11.7000000178814,9,"eddo",4
"trie",0,2,"eddo",4
"regular",17.0999999940395,1001,"alit",4
"trie",0.0999999940395355,7,"alit",4
"regular",9.80000001192093,36,"grab",4
"trie",0,23,"grab",4
"regular",8.69999998807907,6,"welk",4
"trie",0,4,"welk",4
"regular",10.5,47,"cans",4
"trie",0.0999999940395355,6,"cans",4
"regular",9.59999999403954,51,"mack",4
"trie",0,23,"mack",4
"regular",10,1,"upupa",5
"trie",0.0999999940395355,1,"upupa",5
"regular",11.2000000178814,2,"ardor",5
"trie",0,2,"ardor",5
"regular",9.30000001192093,4,"manid",5
"trie",0,2,"manid",5
"regular",8.69999998807907,1,"flubs",5
"trie",0,1,"flubs",5
"regular",9.09999999403954,1,"gyppo",5
"trie",0,1,"gyppo",5
"regular",9.79999998211861,139,"mines",5
"trie",0.0999999940395355,6,"mines",5
"regular",9.30000001192093,9,"parto",5
"trie",0,4,"parto",5
"regular",10.8000000119209,12,"ruing",5
"trie",0,1,"ruing",5
"regular",11.0999999940395,14,"areca",5
"trie",0.0999999940395355,9,"areca",5
"regular",10.2000000178814,28,"lyses",5
"trie",0,1,"lyses",5
"regular",11.3000000119209,36,"racer",5
"trie",0,3,"racer",5
"regular",9.80000001192093,13,"mutes",5
"trie",0,6,"mutes",5
"regular",9.70000001788139,1,"dauby",5
"trie",0,1,"dauby",5
"regular",9.20000001788139,1,"gripy",5
"trie",0,1,"gripy",5
"regular",10.2999999821186,3,"looks",5
"trie",0,1,"looks",5
"regular",9.90000000596046,3,"candor",6
"trie",0,2,"candor",6
"regular",8.09999999403954,2,"warray",6
"trie",0.0999999940395355,1,"warray",6
"regular",10.7000000178814,1,"reswim",6
"trie",0.0999999940395355,1,"reswim",6
"regular",8.79999998211861,3,"balate",6
"trie",0.100000023841858,1,"balate",6
"regular",10.6999999880791,10,"isobar",6
"trie",0,9,"isobar",6
"regular",9.40000000596046,1,"mirish",6
"trie",0,1,"mirish",6
"regular",10.1999999880791,69,"semina",6
"trie",0.0999999940395355,35,"semina",6
"regular",9.59999999403954,1,"upsent",6
"trie",0,1,"upsent",6
"regular",10.4000000059605,9,"robber",6
"trie",0.0999999940395355,5,"robber",6
"regular",10.9000000059605,3,"elapid",6
"trie",0,3,"elapid",6
"regular",10,2,"tipiti",6
"trie",0.0999999940395355,1,"tipiti",6
"regular",10.1999999880791,4,"aorist",6
"trie",0,4,"aorist",6
"regular",10.6999999880791,2,"escout",6
"trie",0,1,"escout",6
"regular",10.1000000238419,5,"senega",6
"trie",0,5,"senega",6
"regular",7.90000000596046,1,"wambly",6
"trie",0,1,"wambly",6
"regular",8.40000000596046,1,"quiscos",7
"trie",0,1,"quiscos",7
"regular",10.5,1,"thomite",7
"trie",0,1,"thomite",7
"regular",9.80000001192093,1,"cactoid",7
"trie",0,1,"cactoid",7
"regular",9.5,6,"syringe",7
"trie",0,5,"syringe",7
"regular",10.6000000238419,8,"algesic",7
"trie",0,1,"algesic",7
"regular",9.59999999403954,2,"dumbing",7
"trie",0,1,"dumbing",7
"regular",10.3000000119209,3,"snuggle",7
"trie",0,3,"snuggle",7
"regular",11.0999999940395,1,"eelcake",7
"trie",0,1,"eelcake",7
"regular",10.3999999761581,5,"stylise",7
"trie",0,5,"stylise",7
"regular",9.19999998807907,1,"bravoed",7
"trie",0.100000023841858,1,"bravoed",7
"regular",9.60000002384186,1,"despert",7
"trie",0,1,"despert",7
"regular",9.29999998211861,1,"galerie",7
"trie",0,1,"galerie",7
"regular",10.6000000238419,1,"studios",7
"trie",0.0999999940395355,1,"studios",7
"regular",10.5999999940395,1,"stemple",7
"trie",0,1,"stemple",7
"regular",10.5,1,"almuten",7
"trie",0,1,"almuten",7
"regular",9.89999997615814,7,"inherent",8
"trie",0,2,"inherent",8
"regular",8.79999998211861,1,"hornsman",8
"trie",0,1,"hornsman",8
"regular",8.09999999403954,1,"jactivus",8
"trie",0,1,"jactivus",8
"regular",10,2,"lagnappe",8
"trie",0,2,"lagnappe",8
"regular",9.80000001192093,1,"trivette",8
"trie",0,1,"trivette",8
"regular",9.90000000596046,1,"arthemis",8
"trie",0,1,"arthemis",8
"regular",10,2,"aquacade",8
"trie",0,2,"aquacade",8
"regular",9.90000000596046,1,"refilmed",8
"trie",0,1,"refilmed",8
"regular",10,1,"alabaman",8
"trie",0.0999999940395355,1,"alabaman",8
"regular",9.19999998807907,3,"damndest",8
"trie",0,2,"damndest",8
"regular",8.59999999403954,1,"bondship",8
"trie",0,1,"bondship",8
"regular",9.5,1,"mercedes",8
"trie",0,1,"mercedes",8
"regular",9.90000000596046,1,"spielers",8
"trie",0,1,"spielers",8
"regular",9.5,1,"paddoing",8
"trie",0.0999999940395355,1,"paddoing",8
"regular",8.79999998211861,2,"jumpable",8
"trie",0,1,"jumpable",8
"regular",11.9000000059605,1,"screwless",9
"trie",0,1,"screwless",9
"regular",8.5,1,"degausser",9
"trie",0,1,"degausser",9
"regular",8.5,1,"unsnagged",9
"trie",0,1,"unsnagged",9
"regular",8.19999998807907,1,"tarandean",9
"trie",0.100000023841858,1,"tarandean",9
"regular",8.90000000596046,1,"nollepros",9
"trie",0,1,"nollepros",9
"regular",8.90000000596046,5,"repositor",9
"trie",0,3,"repositor",9
"regular",8.69999998807907,2,"timetable",9
"trie",0,2,"timetable",9
"regular",10.0999999940395,1,"surprints",9
"trie",0,1,"surprints",9
"regular",8.5,1,"procellas",9
"trie",0,1,"procellas",9
"regular",8.90000000596046,1,"alkalizes",9
"trie",0,1,"alkalizes",9
"regular",8.80000001192093,1,"interdome",9
"trie",0,1,"interdome",9
"regular",8.40000000596046,2,"plainback",9
"trie",0,2,"plainback",9
"regular",8.09999999403954,1,"bromauric",9
"trie",0,1,"bromauric",9
"regular",8.5,1,"unproudly",9
"trie",0,1,"unproudly",9
"regular",9.20000001788139,1,"symphytum",9
"trie",0,1,"symphytum",9
"regular",7.60000002384186,4,"latinizing",10
"trie",0,1,"latinizing",10
"regular",7.29999998211861,1,"pearmonger",10
"trie",0.0999999940395355,1,"pearmonger",10
"regular",7.5,2,"cryptodira",10
"trie",0,2,"cryptodira",10
"regular",7.39999997615814,1,"unprefaced",10
"trie",0,1,"unprefaced",10
"regular",6.80000001192093,1,"fermentate",10
"trie",0,1,"fermentate",10
"regular",7.59999999403954,2,"ombrograph",10
"trie",0.0999999940395355,2,"ombrograph",10
"regular",7.40000000596046,2,"crosslight",10
"trie",0.100000023841858,2,"crosslight",10
"regular",7.19999998807907,4,"propagable",10
"trie",0.0999999940395355,2,"propagable",10
"regular",7.70000001788139,1,"apodyteria",10
"trie",0,1,"apodyteria",10
"regular",7.59999999403954,1,"norfolkian",10
"trie",0,1,"norfolkian",10
"regular",7.59999999403954,1,"cutthroats",10
"trie",0,1,"cutthroats",10
"regular",7.09999999403954,6,"bronchitis",10
"trie",0,1,"bronchitis",10
"regular",7.30000001192093,1,"persianist",10
"trie",0,1,"persianist",10
"regular",7.09999999403954,1,"hansardize",10
"trie",0,1,"hansardize",10
"regular",7.59999999403954,7,"allegorize",10
"trie",0,3,"allegorize",10
"regular",6.19999998807907,2,"hypogastric",11
"trie",0,1,"hypogastric",11
"regular",6.59999999403954,1,"trilobation",11
"trie",0,1,"trilobation",11
"regular",6.19999998807907,1,"feuilletons",11
"trie",0,1,"feuilletons",11
"regular",6.40000000596046,1,"arabinoside",11
"trie",0.100000023841858,1,"arabinoside",11
"regular",6.5,3,"californian",11
"trie",0,3,"californian",11
"regular",6.5,1,"sarcolemmal",11
"trie",0,1,"sarcolemmal",11
"regular",6.20000001788139,1,"protanomaly",11
"trie",0,1,"protanomaly",11
"regular",6.30000001192093,3,"disobedient",11
"trie",0,2,"disobedient",11
"regular",6.5,1,"overloyalty",11
"trie",0,1,"overloyalty",11
"regular",6.5,8,"publication",11
"trie",0,3,"publication",11
"regular",7,2,"seismometry",11
"trie",0,1,"seismometry",11
"regular",7.09999999403954,1,"overissuing",11
"trie",0,1,"overissuing",11
"regular",6.19999998807907,1,"duodecimfid",11
"trie",0,1,"duodecimfid",11
"regular",6,1,"flintifying",11
"trie",0.0999999940395355,1,"flintifying",11
"regular",6.80000001192093,7,"distrustful",11
"trie",0,3,"distrustful",11
"regular",5.5,2,"developments",12
"trie",0,1,"developments",12
"regular",5.10000002384186,1,"protrusility",12
"trie",0,1,"protrusility",12
"regular",5.40000000596046,1,"blimpishness",12
"trie",0,1,"blimpishness",12
"regular",5.5,1,"subdeaconate",12
"trie",0,1,"subdeaconate",12
"regular",5.19999998807907,1,"middlebuster",12
"trie",0.0999999940395355,1,"middlebuster",12
"regular",5.19999998807907,1,"heterodoxies",12
"trie",0,1,"heterodoxies",12
"regular",5.40000000596046,1,"eosinophilic",12
"trie",0,1,"eosinophilic",12
"regular",5.30000001192093,1,"unconfinedly",12
"trie",0,1,"unconfinedly",12
"regular",5.30000001192093,1,"unbeguileful",12
"trie",0,1,"unbeguileful",12
"regular",5.29999998211861,1,"unreportable",12
"trie",0,1,"unreportable",12
"regular",5.5,2,"aerobranchia",12
"trie",0,2,"aerobranchia",12
"regular",5.09999999403954,2,"liriodendron",12
"trie",0,2,"liriodendron",12
"regular",5.39999997615814,1,"sternonuchal",12
"trie",0,1,"sternonuchal",12
"regular",5.09999999403954,1,"herpetomonad",12
"trie",0,1,"herpetomonad",12
"regular",5.39999997615814,1,"overproduced",12
"trie",0,1,"overproduced",12
"regular",4.09999999403954,1,"arthrodonteae",13
"trie",0,1,"arthrodonteae",13
"regular",4.59999999403954,1,"nonfactiously",13
"trie",0,1,"nonfactiously",13
"regular",4.59999999403954,1,"overshortness",13
"trie",0,1,"overshortness",13
"regular",4,1,"didacticality",13
"trie",0,1,"didacticality",13
"regular",4.5,2,"nondiplomatic",13
"trie",0.0999999940395355,2,"nondiplomatic",13
"regular",4.69999998807907,1,"nightmarishly",13
"trie",0,1,"nightmarishly",13
"regular",4.40000000596046,1,"shopkeeperish",13
"trie",0,1,"shopkeeperish",13
"regular",4.09999999403954,3,"undeleterious",13
"trie",0,3,"undeleterious",13
"regular",4.30000001192093,2,"cercopithecid",13
"trie",0,2,"cercopithecid",13
"regular",4.70000001788139,1,"myzostomatous",13
"trie",0,1,"myzostomatous",13
"regular",4.40000000596046,1,"tereticaudate",13
"trie",0,1,"tereticaudate",13
"regular",4.90000000596046,1,"phyllocladium",13
"trie",0,1,"phyllocladium",13
"regular",4.09999999403954,1,"circumgenital",13
"trie",0,1,"circumgenital",13
"regular",4.80000001192093,2,"subfunctional",13
"trie",0,2,"subfunctional",13
"regular",4,1,"ethanedithiol",13
"trie",0,1,"ethanedithiol",13
"regular",3.90000000596046,1,"intersituating",14
"trie",0,1,"intersituating",14
"regular",4,3,"impressibility",14
"trie",0,1,"impressibility",14
"regular",3.30000001192093,1,"imperceiverant",14
"trie",0,1,"imperceiverant",14
"regular",3.80000001192093,1,"televisionally",14
"trie",0,1,"televisionally",14
"regular",4.09999999403954,1,"turnicomorphae",14
"trie",0,1,"turnicomorphae",14
"regular",3.5,1,"dearworthiness",14
"trie",0,1,"dearworthiness",14
"regular",3.69999998807907,1,"avariciousness",14
"trie",0,1,"avariciousness",14
"regular",3.90000000596046,1,"nonresiliently",14
"trie",0,1,"nonresiliently",14
"regular",4,1,"expergefaction",14
"trie",0,1,"expergefaction",14
"regular",3.59999999403954,1,"quadrisyllable",14
"trie",0,1,"quadrisyllable",14
"regular",3.90000000596046,1,"epithalamiumia",14
"trie",0,1,"epithalamiumia",14
"regular",3.5,2,"uniconoclastic",14
"trie",0,2,"uniconoclastic",14
"regular",3.80000001192093,1,"nonambiguities",14
"trie",0,1,"nonambiguities",14
"regular",3.70000001788139,1,"autointoxicant",14
"trie",0,1,"autointoxicant",14
"regular",3.40000000596046,2,"resubstantiate",14
"trie",0,2,"resubstantiate",14
"regular",3.29999998211861,2,"hyperpathetical",15
"trie",0,2,"hyperpathetical",15
"regular",3.39999997615814,1,"nonexaggerative",15
"trie",0,1,"nonexaggerative",15
"regular",3.30000001192093,1,"hypochondriasis",15
"trie",0,1,"hypochondriasis",15
"regular",3.19999998807907,1,"subdepartmental",15
"trie",0,1,"subdepartmental",15
"regular",3.10000002384186,4,"anthropocentric",15
"trie",0.0999999940395355,3,"anthropocentric",15
"regular",3.29999998211861,1,"nonapprehensive",15
"trie",0,1,"nonapprehensive",15
"regular",3.20000001788139,1,"intertrabecular",15
"trie",0.0999999940395355,1,"intertrabecular",15
"regular",3.30000001192093,1,"sequentializing",15
"trie",0,1,"sequentializing",15
"regular",3.30000001192093,1,"transnihilation",15
"trie",0,1,"transnihilation",15
"regular",3.09999999403954,1,"meaninglessness",15
"trie",0,1,"meaninglessness",15
"regular",3,1,"superheterodyne",15
"trie",0,1,"superheterodyne",15
"regular",3.19999998807907,1,"nonsymbolically",15
"trie",0,1,"nonsymbolically",15
"regular",3.40000000596046,1,"overaggravating",15
"trie",0,1,"overaggravating",15
"regular",3.30000001192093,1,"unopportunistic",15
"trie",0,1,"unopportunistic",15
"regular",3.30000001192093,1,"nondiscoverable",15
"trie",0.100000023841858,1,"nondiscoverable",15
"regular",3,1,"preconcentration",16
"trie",0,1,"preconcentration",16
"regular",2.90000000596046,2,"nationalizations",16
"trie",0,1,"nationalizations",16
"regular",2.90000000596046,1,"sphacelariaceous",16
"trie",0,1,"sphacelariaceous",16
"regular",3.30000001192093,1,"cerebellopontile",16
"trie",0,1,"cerebellopontile",16
"regular",3,1,"nonintermittence",16
"trie",0,1,"nonintermittence",16
"regular",3,1,"uncompassionated",16
"trie",0,1,"uncompassionated",16
"regular",2.59999999403954,1,"heterochronistic",16
"trie",0,1,"heterochronistic",16
"regular",2.69999998807907,1,"unspiritualising",16
"trie",0,1,"unspiritualising",16
"regular",2.90000000596046,1,"supercompetition",16
"trie",0.0999999940395355,1,"supercompetition",16
"regular",2.69999998807907,1,"dermatopathology",16
"trie",0,1,"dermatopathology",16
"regular",2.80000001192093,1,"trinitrocarbolic",16
"trie",0,1,"trinitrocarbolic",16
"regular",2.90000000596046,1,"unfelicitousness",16
"trie",0.100000023841858,1,"unfelicitousness",16
"regular",3.09999999403954,2,"pseudohistorical",16
"trie",0,2,"pseudohistorical",16
"regular",3.5,1,"counterassurance",16
"trie",0,1,"counterassurance",16
"regular",3.09999999403954,1,"exaggerativeness",16
"trie",0,1,"exaggerativeness",16
"regular",2.59999999403954,1,"antimodernization",17
"trie",0,1,"antimodernization",17
"regular",2.80000001192093,1,"cholecystorrhaphy",17
"trie",0,1,"cholecystorrhaphy",17
"regular",2.69999998807907,1,"electrodispersive",17
"trie",0,1,"electrodispersive",17
"regular",2.79999998211861,1,"nongregariousness",17
"trie",0.0999999940395355,1,"nongregariousness",17
"regular",2.60000002384186,1,"technographically",17
"trie",0,1,"technographically",17
"regular",2.59999999403954,1,"unimpressibleness",17
"trie",0,1,"unimpressibleness",17
"regular",2.70000001788139,1,"disadvantagedness",17
"trie",0,1,"disadvantagedness",17
"regular",2.40000000596046,1,"transequatorially",17
"trie",0.0999999940395355,1,"transequatorially",17
"regular",2.69999998807907,1,"unconsentaneously",17
"trie",0,1,"unconsentaneously",17
"regular",2.59999999403954,1,"amphitheatrically",17
"trie",0,1,"amphitheatrically",17
"regular",2.59999999403954,1,"intertrochanteric",17
"trie",0,1,"intertrochanteric",17
"regular",2.5,1,"naphtholsulphonic",17
"trie",0,1,"naphtholsulphonic",17
"regular",2.5,1,"superthankfulness",17
"trie",0,1,"superthankfulness",17
"regular",2.59999999403954,1,"unpicturesqueness",17
"trie",0,1,"unpicturesqueness",17
"regular",2.40000000596046,1,"ophthalmophthisis",17
"trie",0,1,"ophthalmophthisis",17
"regular",2.40000000596046,1,"unobjectionability",18
"trie",0,1,"unobjectionability",18
"regular",2.19999998807907,1,"ophthalmologically",18
"trie",0,1,"ophthalmologically",18
"regular",2.30000001192093,1,"orthopsychiatrical",18
"trie",0,1,"orthopsychiatrical",18
"regular",2.30000001192093,1,"overthoughtfulness",18
"trie",0.0999999940395355,1,"overthoughtfulness",18
"regular",2.20000001788139,1,"antieducationalist",18
"trie",0,1,"antieducationalist",18
"regular",2.20000001788139,1,"dyakisdodecahedron",18
"trie",0,1,"dyakisdodecahedron",18
"regular",2.30000001192093,1,"laparosalpingotomy",18
"trie",0.0999999940395355,1,"laparosalpingotomy",18
"regular",2.30000001192093,1,"gastrohysterectomy",18
"trie",0,1,"gastrohysterectomy",18
"regular",2.19999998807907,1,"autobasidiomycetes",18
"trie",0,1,"autobasidiomycetes",18
"regular",2.70000001788139,1,"electrogasdynamics",18
"trie",0,1,"electrogasdynamics",18
"regular",2.5,1,"nonreconcilability",18
"trie",0,1,"nonreconcilability",18
"regular",2.79999998211861,1,"unorthographically",18
"trie",0,1,"unorthographically",18
"regular",2.20000001788139,2,"neurophysiological",18
"trie",0,2,"neurophysiological",18
"regular",2.29999998211861,1,"chemosensitivities",18
"trie",0,1,"chemosensitivities",18
"regular",2.40000000596046,1,"unpresumptuousness",18
"trie",0,1,"unpresumptuousness",18
"regular",2.20000001788139,1,"thermoelectromotive",19
"trie",0.0999999940395355,1,"thermoelectromotive",19
"regular",2.20000001788139,1,"reticuloendothelial",19
"trie",0,1,"reticuloendothelial",19
"regular",2.30000001192093,1,"photohyponastically",19
"trie",0,1,"photohyponastically",19
"regular",2.40000000596046,1,"nonadvantageousness",19
"trie",0,1,"nonadvantageousness",19
"regular",2.19999998807907,1,"characterologically",19
"trie",0,1,"characterologically",19
"regular",2.40000000596046,1,"neuroleptoanalgesia",19
"trie",0,1,"neuroleptoanalgesia",19
"regular",2.09999999403954,1,"hydrochlorplatinous",19
"trie",0,1,"hydrochlorplatinous",19
"regular",2.19999998807907,1,"photopolymerization",19
"trie",0,1,"photopolymerization",19
"regular",2.20000001788139,1,"hyperfastidiousness",19
"trie",0,1,"hyperfastidiousness",19
"regular",2.19999998807907,1,"unconstitutionalism",19
"trie",0,1,"unconstitutionalism",19
"regular",2.09999999403954,1,"eulamellibranchiate",19
"trie",0,1,"eulamellibranchiate",19
"regular",2.09999999403954,2,"sternocleidomastoid",19
"trie",0,2,"sternocleidomastoid",19
"regular",2.40000000596046,1,"equiproportionality",19
"trie",0,1,"equiproportionality",19
"regular",2.20000001788139,1,"pseudohallucination",19
"trie",0.0999999940395355,1,"pseudohallucination",19
"regular",2.20000001788139,1,"parasympathomimetic",19
"trie",0,1,"parasympathomimetic",19
"regular",2.19999998807907,1,"ultraphotomicrograph",20
"trie",0,1,"ultraphotomicrograph",20
"regular",2.19999998807907,1,"pneumatotherapeutics",20
"trie",0,1,"pneumatotherapeutics",20
"regular",2.20000001788139,1,"electrogalvanization",20
"trie",0,1,"electrogalvanization",20
"regular",2.09999999403954,1,"antianthropomorphism",20
"trie",0,1,"antianthropomorphism",20
"regular",2.19999998807907,1,"pseudohermaphroditic",20
"trie",0,1,"pseudohermaphroditic",20
"regular",2.29999998211861,1,"electroretinographic",20
"trie",0,1,"electroretinographic",20
"regular",2.19999998807907,1,"physiopathologically",20
"trie",0,1,"physiopathologically",20
"regular",2.30000001192093,1,"ureterosalpingostomy",20
"trie",0,1,"ureterosalpingostomy",20
"regular",2.09999999403954,1,"scleroconjunctivitis",20
"trie",0,1,"scleroconjunctivitis",20
"regular",2.29999998211861,2,"magnetofluidmechanic",20
"trie",0,2,"magnetofluidmechanic",20
"regular",2,1,"hydroxyanthraquinone",20
"trie",0,1,"hydroxyanthraquinone",20
"regular",2.20000001788139,1,"overrepresentatively",20
"trie",0.0999999940395355,1,"overrepresentatively",20
"regular",2.29999998211861,1,"superrespectableness",20
"trie",0,1,"superrespectableness",20
"regular",2.30000001192093,1,"ethnomusicologically",20
"trie",0,1,"ethnomusicologically",20
"regular",2.09999999403954,1,"anthropogeographical",20
"trie",0,1,"anthropogeographical",20
